,y,prd_y
225,3.85,3.7689244334289955
226,3.93,3.933436118420009
227,3.68,3.8475663395204394
228,3.94,3.825409954223763
229,3.94,3.961037523238621
230,4.45,3.979659917444041
231,4.04,3.9757317715405764
232,3.99,3.982689123125074
233,3.78,3.916302623341536
234,3.89,4.090508282096669
235,3.8,3.853677141825972
236,3.74,3.889013621791953
237,3.99,3.8665427756963333
238,4.11,3.916396174927668
239,4.32,3.924919124944299
240,4.05,4.027655582859323
241,3.68,3.9191979493495324
242,4.29,4.110945161219535
243,4.36,4.114298998635265
244,3.91,3.879365440888011
245,4.45,3.8332551045780465
246,3.87,3.9368467919084122
247,4.35,3.911672386888067
248,3.42,3.90125863640444
249,3.97,3.901012431066953
250,4.47,4.091561474743186
251,4.0,4.040518227504046
252,3.85,3.8668510572087498
253,3.87,3.915789523950757
254,4.07,3.9197575888566516
255,3.47,3.942349188937953
256,4.14,3.909654389307424
257,3.96,3.8867979773689503
258,3.68,3.8430831020504663
259,3.96,3.959628668612812
260,3.79,3.894165297010884
261,3.57,3.678834967878712
262,4.36,3.941968979729158
263,4.13,3.960249790080424
264,4.01,3.995741577809214
265,3.73,3.7472920890025354
266,3.44,3.6561405040681136
267,4.18,4.117123444791009
268,4.09,3.941726748663261
269,4.0,3.868397984569268
270,3.98,3.931868467929968
271,3.79,3.9026677097255456
272,3.86,3.9039924727597755
273,4.06,3.9853790714184023
274,4.23,3.8656576892276537
275,3.88,3.911729163563075
276,4.06,3.883761336449711
277,3.81,3.9406119110610933
278,4.11,3.8849864532204648
279,4.2,3.932909290540971
280,3.71,3.7673346599983417
281,4.09,3.8955071093968825
282,3.22,3.8029690647045205
283,4.27,3.8987598309048477
284,3.68,3.886904072510623
285,3.91,3.9564492146251165
286,3.97,3.858327624577401
287,3.71,3.791641839981836
288,3.91,3.999745156277837
289,3.81,3.9201075820513025
290,3.85,4.041906945708014
291,3.82,3.841833976783209
292,3.92,4.142625244072622
293,3.69,3.937118416443989
294,3.79,3.87113672651008
295,4.19,3.9839890953995245
296,3.33,3.9061769839621134
297,3.72,3.6201532056855483
298,3.98,4.019274659036167
299,3.73,4.0504923229242
300,3.76,3.9022009739119885
301,3.92,3.817385435354732
302,3.83,3.8979573128981104
303,4.05,4.022432356268155
304,3.59,3.759669040002447
305,4.61,4.215339492061025
306,4.05,3.937010705472288
307,4.33,4.020432649133314
308,4.04,3.8624542347793382
309,4.0,3.906144651030409
310,3.88,3.911277976446414
311,4.09,3.9683062306428103
312,3.84,3.9062943744287844
313,4.09,3.928063989281489
314,3.9,3.956061398277541
315,4.0,3.6957346289935074
316,3.97,3.858678350766477
317,3.81,3.891860671684585
318,3.85,3.8767998756790347
319,3.85,3.883393807901324
320,3.91,3.9644009879994733
321,3.64,3.990788705241258
322,3.92,3.7984541013894293
323,4.23,3.8634919015833247
324,3.99,3.9989831477559963
325,4.02,3.9973462615668427
326,3.77,3.696021476224161
327,3.9,3.953273305168685
328,4.23,3.9239317222862
329,3.14,3.8095969062591393
330,3.5,3.9246841304205433
331,4.01,3.950682808385649
332,4.07,3.9124092189268347
333,4.36,4.052312706066301
334,3.46,3.9402815515546368
335,3.4,3.7805742218814262
336,4.14,3.8966462053512827
337,4.27,4.164348994097784
338,3.42,3.7963446586062717
339,4.06,3.9742512449578027
340,3.52,3.5739354047831315
341,3.96,3.9206625436757183
342,4.24,3.8388605373928786
343,3.14,3.8070599474800466
344,4.22,4.073879756626646
345,3.71,3.9045923306411825
346,4.19,4.013977949916978
347,3.46,3.871371831935402
348,3.46,3.958253791896419
349,3.82,3.965917892939928
350,3.94,3.955569047304722
351,3.46,3.9280258156789
352,4.01,4.013045681411246
353,4.12,4.488179155832253
354,4.42,3.9385660215139793
355,3.86,3.8206235109501283
356,3.91,3.941573621547683
357,3.92,3.867623384951012
358,4.2,3.9551520584425846
359,3.74,3.9507496275105196
360,3.32,3.8895106987669847
361,3.51,4.012650547917481
362,3.46,3.8012820773577034
363,3.66,3.8619803265379047
364,3.84,3.980586221987313
365,3.26,3.849895454165148
366,3.7,3.7788025119440953
367,4.17,3.9236917961725344
368,4.03,3.9133888695356958
369,3.89,3.8901307808755097
370,3.85,3.946004814527162
371,3.71,3.879078258943585
372,3.99,4.0338633517638325
373,4.33,3.999792006643356
374,3.61,3.874858805958026
375,4.16,3.8992567198270316
376,4.57,4.519167802824473
377,3.89,3.9347970562851002
378,3.96,3.961342585739192
379,3.95,3.9884224979901624
380,4.3,3.9340642558909598
381,3.0,3.8890856211824762
382,4.11,3.907421381950123
383,4.05,3.903222371388044
384,4.08,3.9799709774781893
385,3.74,3.8043725823715904
386,3.64,3.7610842507908946
387,4.19,3.9308852551861553
388,3.72,3.7790565418068183
389,3.91,3.8486299960772254
390,3.38,3.8612727618443627
391,3.99,3.878813131140244
392,3.66,3.841240596186299
393,3.92,3.80412265783009
394,3.75,3.824431209351314
395,3.88,3.945929552188137
396,3.68,3.8502363816827248
397,4.36,4.0936156154660654
398,4.01,3.873335363178897
399,3.96,3.920290974569625
400,3.83,3.926042372964336
401,3.99,3.9374745349135316
402,4.1,3.967288432020886
403,3.89,3.8855909440440857
404,4.29,3.9666422689823224
405,3.78,3.9241776632420273
406,3.78,3.9841570895903247
407,4.35,4.000817926161579
408,3.94,3.926352939948887
409,3.92,4.001189257764121
410,4.04,3.835980241939612
411,4.06,4.036515053607584
412,3.87,3.8250243654147877
413,3.5,4.014507933219042
414,3.87,3.9026134748618513
415,4.14,4.01956923079813
416,4.02,3.9994587501455814
417,3.73,3.902200910774399
418,3.76,3.98556622152543
419,3.76,3.90272505369698
420,4.21,4.1394459852248175
421,3.88,3.8754118274586857
422,4.22,3.8804657141235395
423,3.58,3.8729627180081407
424,4.09,3.895942967425157
425,3.57,3.9049813013254346
426,4.01,4.028548558117496
427,4.02,3.9406540565292745
428,3.82,3.785789604850191
429,4.03,3.76754017711912
430,4.15,3.88523090810745
431,4.17,3.9409208398716387
432,3.84,3.9170338459066376
433,3.42,3.9041711131429033
434,4.58,4.162687776999876
435,3.95,3.918103240279678
436,4.11,3.9973457402547194
437,4.37,4.106012526369803
438,3.72,3.9380031332668515
439,4.06,3.9883066741297344
440,3.9,3.819621166428709
441,4.05,4.140554403182389
442,2.88,3.7460024481955867
443,3.88,4.250120080556552
444,4.16,3.971896417184927
445,4.14,3.9255134453338205
446,4.07,3.993873612718208
447,3.96,3.952477024050854
448,4.15,4.031620479012407
449,3.5,3.6307470669240813
450,3.73,3.808408046731827
451,3.65,3.8716672652457116
452,3.65,3.915455843991223
453,4.16,4.015660076652027
454,3.4,3.688907789656202
455,4.44,4.003843506261786
456,3.63,4.115054454274954
457,4.09,4.006375973290979
458,4.05,4.010790947943688
459,3.18,3.9227988486000753
460,4.23,3.8927122849496896
461,3.52,3.666539996806147
462,3.62,3.927424216949427
463,3.92,4.033398101469832
464,3.95,4.010677077187445
465,4.07,4.103025005751624
466,3.97,3.9703278884678137
467,3.83,3.9281809940912935
468,4.22,4.133050776318445
469,3.69,3.9003100966148394
470,4.14,3.96517314495834
471,3.92,3.9081966018520755
472,4.13,3.9093209371295363
473,4.06,3.968312272558078
474,3.68,3.950431478272781
475,4.3,4.005739274449681
476,3.97,3.8924470618688365
477,4.26,4.085811461657411
478,4.14,4.017836355333348
479,3.82,3.709207535255313
480,4.03,3.9569460493406354
481,3.64,3.735689998849541
482,4.14,3.8935478943603123
483,4.55,4.419629642951326
484,4.34,4.020570850318421
485,4.0,3.7943457364623083
486,4.42,3.9411408923707465
487,4.44,4.2535018042268895
488,3.7,3.8716699938511847
489,3.5,4.020712509578384
490,3.89,3.959780208468287
491,3.6,3.923504827847909
492,4.43,4.171479261081567
493,3.86,3.9463212699036085
494,4.0,3.9258539035116082
495,3.85,4.065066300215394
496,4.26,4.097679663800706
497,3.8,3.622331370387302
498,3.82,3.7160709467100697
499,4.19,3.740491750895988
500,3.68,4.0134665294725735
501,3.73,3.8011670484751057
502,3.97,4.003788602955062
503,3.63,3.8787051450086953
504,4.33,3.9416247520606515
505,4.05,4.01662520895052
506,4.12,4.003234421926546
507,4.16,4.102779227868991
508,3.38,3.5937367363334234
509,4.24,3.9345406293637715
510,3.84,3.849626442534787
511,4.15,3.962378550130762
512,3.68,3.9054144563489834
513,4.03,4.2064454618904215
514,3.69,3.8884389630590284
515,4.44,3.948056000000397
516,4.05,3.9828951623721127
517,4.27,4.034604216273797
518,3.88,3.96167040503644
519,3.83,3.9387618798723474
520,3.76,3.947142066548247
521,3.83,4.003583765898565
522,4.16,4.248759100467554
523,4.44,4.122720042981728
524,5.0,3.937668194947453
525,3.79,3.822070866257198
526,4.29,4.064201189575984
527,4.0,3.870375264575759
528,3.78,3.884881234052308
529,4.06,4.042621974411173
530,3.97,3.853836077956092
531,4.32,4.091397648768169
532,3.4,3.53110510026636
533,3.47,3.802147938109363
534,3.92,3.93883105962527
535,3.9,3.786950615333414
536,3.99,3.8524610114051385
537,4.02,3.9620208331246736
538,3.79,3.8632210290922777
539,4.11,3.960076213286133
540,4.05,3.9469440886041087
541,4.0,3.915078660263053
542,3.57,3.912018075008104
543,4.23,4.053914151319672
544,4.37,4.002494446076543
545,3.82,3.8969952413532707
546,3.96,3.8997471512713155
547,4.27,4.080612614137783
548,4.1,4.090497810639976
549,4.01,3.994838077856269
550,3.93,4.04658784527242
551,3.51,3.9054940225131802
552,4.16,3.9696944748217686
553,4.3,3.9655374516157145
554,4.24,4.078489843891655
555,3.9,3.7699073581412335
556,3.67,3.9401275228199695
557,3.97,3.9455282453206224
558,4.06,3.92626398523497
559,3.71,3.7739799526065787
560,3.84,3.802021842133301
561,3.89,3.898368924559438
562,3.98,3.903214201837749
563,4.25,3.899493899018364
564,3.8,3.9170024300046884
565,3.51,3.925420493097915
566,4.18,3.9404267254432432
567,3.54,3.909328406707003
568,4.57,4.513480365395111
569,3.74,3.7164335954697365
570,3.43,4.14337152023217
571,4.11,3.9126652612941304
572,3.35,3.7645642895303797
573,4.2,4.017766381662643
574,3.94,3.7863772799203868
575,4.16,3.965682508785371
576,3.21,3.6171832053138058
577,4.07,3.9374525063893153
578,4.18,3.8479102670477734
579,2.62,3.8519771462970787
580,4.16,3.996354424545793
581,4.18,3.9043172736687377
582,3.66,3.893270157403735
583,3.84,3.9608549505168296
584,4.65,4.181664272434402
585,3.85,3.92724360303176
586,3.6,3.9101532226774007
587,4.2,3.900791071723446
588,3.87,3.9415202831931944
589,4.01,3.9930497669363416
590,4.0,4.167738095113766
591,3.41,3.5846549674169164
592,3.71,3.9581856775322453
593,4.11,3.985712766677499
594,4.19,3.9032547302225855
595,3.93,3.9687264018748922
596,3.92,4.020417218068271
597,3.74,3.9500990743963835
598,3.5,3.848095292242489
599,3.75,3.79832158106044
600,3.89,3.8762425349845304
601,4.1,3.9116621862355845
602,4.22,3.9408620756733126
603,4.19,4.030269846975266
604,4.13,3.859926945336738
605,4.43,3.8983555538957586
606,4.21,3.8901245372497395
607,3.82,3.9059230936742577
608,4.08,4.127841619382584
609,4.13,4.041288683223417
610,3.87,3.8200184925029492
611,4.13,4.025731760641495
612,3.63,3.8285426591335097
613,4.2,3.9091192694215233
614,4.19,3.9788368562593326
615,4.21,4.065904474019874
616,3.39,3.9292997395673264
617,4.31,3.861123224226644
618,3.99,3.9121799504980728
619,5.0,3.9257092317600466
620,3.73,3.9107412962247756
621,4.12,3.9898631354414076
622,3.61,3.9198181080252072
623,4.12,4.004856854187581
624,3.96,3.899224481419098
625,4.19,3.926628968320736
626,4.12,3.905928312583423
627,4.01,4.021904430651766
628,3.82,3.8867314420026857
629,3.96,3.964681119191549
630,4.32,3.92305988993813
631,3.84,3.8890523669696724
632,4.18,3.9420067416660136
633,4.53,4.217803517053076
634,3.5,4.028908789338363
635,3.59,3.750907241833573
636,3.58,3.9145677771110408
637,3.81,3.8746633179725545
638,4.22,3.901627549185315
639,3.62,3.8937324371838344
640,4.22,3.906172932243766
641,4.18,3.844288284242206
642,3.88,3.895339677544214
643,3.99,4.030335469444051
644,4.11,3.8935275331200825
645,3.83,3.9316836423827684
646,3.31,3.6304557139245572
647,3.85,3.8762692753101216
648,3.4,3.935302498225403
649,4.15,3.9926879695010684
650,3.33,3.905085906635415
651,4.14,4.110025716520889
652,4.16,3.956460024043507
653,4.02,3.927338381544635
654,3.67,4.0025993947785885
655,4.38,4.057270966359058
656,3.88,3.806080418081948
657,4.07,3.9716068570492458
658,4.23,3.6918153733878745
659,3.93,3.7699595780353037
